userId,password
ye00000001,ye00000001_PASS
ye00000002,ye00000002_PASS
ye00000003,ye00000003_PASS
ye00000004,ye00000004_PASS
ye00000005,ye00000005_PASS
ye00000006,ye00000006_PASS
ye00000007,ye00000007_PASS
ye00000008,ye00000008_PASS
ye00000009,ye00000009_PASS
ye00000010,ye00000010_PASS
ye00000011,ye00000011_PASS
ye00000012,ye00000012_PASS
ye00000013,ye00000013_PASS
ye00000014,ye00000014_PASS
ye00000015,ye00000015_PASS
ye00000016,ye00000016_PASS
ye00000017,ye00000017_PASS
ye00000018,ye00000018_PASS
ye00000019,ye00000019_PASS
ye00000020,ye00000020_PASS
ye00000021,ye00000021_PASS
ye00000022,ye00000022_PASS
ye00000023,ye00000023_PASS
ye00000024,ye00000024_PASS
ye00000025,ye00000025_PASS
ye00000026,ye00000026_PASS
ye00000027,ye00000027_PASS
ye00000028,ye00000028_PASS
ye00000029,ye00000029_PASS
ye00000030,ye00000030_PASS
ye00000031,ye00000031_PASS
ye00000032,ye00000032_PASS
ye00000033,ye00000033_PASS
ye00000034,ye00000034_PASS
ye00000035,ye00000035_PASS
ye00000036,ye00000036_PASS
ye00000037,ye00000037_PASS
ye00000038,ye00000038_PASS
ye00000039,ye00000039_PASS
ye00000040,ye00000040_PASS
ye00000041,ye00000041_PASS
ye00000042,ye00000042_PASS
ye00000043,ye00000043_PASS
ye00000044,ye00000044_PASS
ye00000045,ye00000045_PASS
ye00000046,ye00000046_PASS
ye00000047,ye00000047_PASS
ye00000048,ye00000048_PASS
ye00000049,ye00000049_PASS
ye00000050,ye00000050_PASS
ye00000051,ye00000051_PASS
ye00000052,ye00000052_PASS
ye00000053,ye00000053_PASS
ye00000054,ye00000054_PASS
ye00000055,ye00000055_PASS
ye00000056,ye00000056_PASS
ye00000057,ye00000057_PASS
ye00000058,ye00000058_PASS
ye00000059,ye00000059_PASS
ye00000060,ye00000060_PASS
ye00000061,ye00000061_PASS
ye00000062,ye00000062_PASS
ye00000063,ye00000063_PASS
ye00000064,ye00000064_PASS
ye00000065,ye00000065_PASS
ye00000066,ye00000066_PASS
ye00000067,ye00000067_PASS
ye00000068,ye00000068_PASS
ye00000069,ye00000069_PASS
ye00000070,ye00000070_PASS
ye00000071,ye00000071_PASS
ye00000072,ye00000072_PASS
ye00000073,ye00000073_PASS
ye00000074,ye00000074_PASS
ye00000075,ye00000075_PASS
ye00000076,ye00000076_PASS
ye00000077,ye00000077_PASS
